platform;game;date;category
39;1429;1480550400;0
12;1305;1376956800;0
23;1259;948153600;0
38;1462;1256774400;0
39;1394;1244592000;0
39;1404;1356912000;2
130;1408;1489017600;0
8;1770;1068508800;0
6;1337;1348099200;0
9;1276;1268265600;0
9;1211;1291248000;0
6;1277;1241481600;0
32;1666;877046400;0
32;1413;809913600;0
34;1363;1386028800;0
8;1728;1087948800;0
11;1660;1141084800;0
5;1525;1195516800;0
39;1277;1415836800;0
9;1216;1360022400;0
45;1404;1293753600;2
12;1386;1356998400;2
24;1590;1086220800;0
4;1467;974764800;0
5;1413;809913600;0
37;1403;1356998400;2
8;1667;794793600;0
24;1474;1001548800;0
34;1376;1340841600;0
11;1409;1023840000;0
32;1404;883526400;2
37;1698;1335916800;0
92;1367;1277337600;0
34;1676;1317427200;1
6;1339;1114473600;0
20;1495;1220227200;1
38;1235;1152144000;0
6;1294;1005609600;0
38;1315;1194912000;0
6;1255;1379376000;0
33;1697;888796800;0
12;1684;1312934400;0
11;1613;1096848000;0
8;1409;1023840000;0
48;1473;;7
24;1200;1059696000;0
3;1318;1403136000;0
12;1584;1224547200;0
20;1582;1160438400;0
11;1645;1130803200;0
5;1646;1225411200;0
5;1524;1163894400;0
52;1675;1019001600;0
21;1582;1160438400;0
45;1361;1215561600;0
8;1565;1023235200;0
7;1201;882835200;0
14;1294;1036108800;0
52;1724;812505600;0
6;1625;1335225600;0
21;1613;1109635200;0
46;1376;1383955200;0
6;1428;1143763200;0
8;1201;1164844800;0
5;1527;1274140800;0
47;1561;1456531200;0
12;1347;1182729600;0
52;1725;836179200;1
5;1211;1260403200;0
22;1622;914198400;0
38;1461;1227225600;0
11;1324;1128988800;0
12;1646;1225411200;0
8;1632;1101081600;0
6;1510;1412553600;0
12;1676;1320969600;0
12;1585;1318464000;0
9;1585;1318464000;0
6;1262;1393891200;0
12;1555;1170892800;0
24;1589;1067212800;0
22;1697;908928000;0
9;1386;1356998400;2
47;1513;1506038400;0
3;1339;1338422400;0
14;1279;1394496000;0
39;1279;1397692800;0
9;1555;1170892800;0
14;1605;1437436800;0
20;1376;1340668800;0
8;1582;1160438400;0
21;1728;1087948800;0
21;1766;1046908800;0
21;1565;1023235200;0
47;1512;1456531200;0
34;1407;1360195200;0
14;1338;1444089600;0
92;1331;1403222400;0
36;1331;1279670400;0
36;2139;1315958400;0
14;2025;1404950400;0
14;2346;1394582400;0
13;2395;915062400;2
6;1901;1356998400;2
6;2040;1128124800;1
