genre;game_id
Point-and-click;822
Puzzle;822
Adventure;822
Strategy;823
Turn-based strategy (TBS);823
Sport;824
Shooter;825
Racing;825
Adventure;825
Shooter;826
Racing;826
Adventure;826
Shooter;827
Adventure;827
Shooter;828
Strategy;829
Turn-based strategy (TBS);829
Sport;830
Sport;831
Real Time Strategy (RTS);832
Role-playing (RPG);832
Strategy;832
Real Time Strategy (RTS);833
Simulator;834
Strategy;834
Real Time Strategy (RTS);835
Platform;836
Adventure;836
Fighting;837
Platform;837
Adventure;837
Racing;838
Pinball;838
Racing;839
Simulator;839
Sport;839
Simulator;840
Strategy;840
Racing;841
Simulator;841
Sport;841
Racing;842
Simulator;842
Sport;842
Platform;843
Adventure;843
Point-and-click;844
Shooter;844
Adventure;844
Simulator;845
Shooter;846
Shooter;847
Adventure;847
Real Time Strategy (RTS);848
Strategy;848
Quiz/Trivia;848
Real Time Strategy (RTS);849
Strategy;849
Strategy;850
Turn-based strategy (TBS);850
Role-playing (RPG);851
Strategy;851
Adventure;851
Real Time Strategy (RTS);853
Strategy;853
Point-and-click;854
Adventure;854
Sport;855
Simulator;856
Sport;856
Shooter;857
Shooter;858
Indie;858
Real Time Strategy (RTS);859
Strategy;859
Real Time Strategy (RTS);860
Strategy;860
Point-and-click;861
Adventure;861
Point-and-click;862
Adventure;862
Simulator;863
Strategy;863
Turn-based strategy (TBS);863
Real Time Strategy (RTS);864
Strategy;864
Simulator;865
Strategy;865
Turn-based strategy (TBS);865
Simulator;866
Strategy;866
Turn-based strategy (TBS);866
Real Time Strategy (RTS);867
Strategy;867
Real Time Strategy (RTS);868
Role-playing (RPG);868
Simulator;868
Strategy;868
Adventure;868
Simulator;869
Sport;869
Strategy;869
Simulator;870
Strategy;870
Simulator;871
Real Time Strategy (RTS);872
Strategy;872
Tactical;872
Shooter;873
Racing;873
Adventure;873
Tactical;874
Sport;875
Role-playing (RPG);876
Strategy;876
Shooter;877
Strategy;879
Tactical;879
Shooter;880
Adventure;880
Shooter;881
Sport;881
Strategy;881
Simulator;882
Strategy;882
Simulator;883
Strategy;883
Turn-based strategy (TBS);883
Fighting;884
Platform;885
Adventure;885
Indie;885
Racing;886
Simulator;886
Sport;886
Racing;887
Simulator;887
Sport;887
Real Time Strategy (RTS);888
Strategy;888
Adventure;888
Shooter;889
Simulator;889
Point-and-click;890
Puzzle;890
Adventure;890
Shooter;891
Role-playing (RPG);894
Point-and-click;895
Role-playing (RPG);895
Adventure;895
Simulator;896
Strategy;896
Turn-based strategy (TBS);896
Shooter;897
Simulator;898
Strategy;898
Simulator;899
Strategy;899
Real Time Strategy (RTS);900
Strategy;900
Shooter;901
Strategy;901
Sport;903
Simulator;904
Sport;904
Sport;905
Sport;906
Racing;907
Sport;907
Shooter;908
Simulator;908
Tactical;908
Shooter;909
Tactical;909
Tactical;910
Tactical;911
Shooter;912
Platform;912
Puzzle;912
Adventure;912
Sport;913
Sport;914
Sport;915
Point-and-click;916
Adventure;916
Simulator;917
Real Time Strategy (RTS);918
Strategy;918
Point-and-click;919
Adventure;919
Simulator;920
Simulator;921
Strategy;921
Indie;921
Shooter;922
Simulator;922
Sport;922
Shooter;923
Sport;923
Sport;925
Shooter;926
Sport;926
Shooter;927
Shooter;928
Real Time Strategy (RTS);929
Strategy;929
Simulator;930
Strategy;931
Turn-based strategy (TBS);931
Strategy;932
Turn-based strategy (TBS);932
Platform;933
Strategy;933
Simulator;934
Shooter;935
Simulator;935
Simulator;936
Sport;936
Racing;937
Simulator;937
Sport;938
Role-playing (RPG);939
Adventure;939
Real Time Strategy (RTS);941
Strategy;941
Puzzle;942
Indie;942
Racing;943
Sport;943
Simulator;944
Sport;944
Strategy;944
Simulator;945
Sport;945
Strategy;945
