id;name;aggregated_rating;first_release_date
487;Silent Hill: Downpour;69.875;1331596800
488;Kane & Lynch 2: Dog Days;69.4285714285714;1282003200
489;Rift;83.75;1298937600
490;Duke Nukem Forever;54.75;1307577600
491;Castlevania: Lords of Shadow;83.2;1286236800
492;Gears of War 3;96.6666666666667;1316476800
493;Heavy Rain;80.25;1266451200
494;Bulletstorm;87.1428571428571;1298332800
495;Metro 2033;87.25;1268697600
496;Dead Rising 2;80.6666666666667;1285286400
497;Resident Evil: The Darkside Chronicles;66.5;1231891200
498;Borderlands;80.0;1255996800
499;God of War III;96.0;1268697600
500;Batman: Arkham Asylum;89.4;1251158400
501;Batman: Arkham City;91.2;1318896000
502;Brink;73.375;1304985600
503;FIFA 11;84.3333333333333;1285632000
504;Fable III;78.0;1288051200
505;Hunted: The Demon's Forge;65.8;1306800000
506;Sonic Generations;75.1;1320105600
507;I Am Alive;69.125;1331078400
508;TrackMania 2: Canyon;81.5;1315958400
509;Rage;80.8;1317686400
510;PowerUp Heroes;70.0;1308009600
511;Ape Escape 4;;1306886400
512;Uncharted 3: Drake's Deception;93.25;1319760000
513;Phantasy Star Online 2;;1341360000
514;F.E.A.R. 3;75.8;1308614400
515;Infamous 2;84.5;1307404800
516;Of Orcs and Men;80.0;1349913600
517;F.E.A.R.;80.8571428571429;1129507200
518;F.E.A.R. Extraction Point;73.3333333333333;1161648000
519;F.E.A.R. Perseus Mandate;70.0;1194307200
520;F.E.A.R. 2: Project Origin;76.0;1234224000
521;Fable;90.0;1095120000
522;Fable II;85.8333333333333;1224547200
523;Infamous;86.25;1243296000
524;Dirt 3;85.8571428571429;1306195200
526;Need for Speed: The Run;66.5555555555556;1321315200
527;Serious Sam 3: BFE;70.8333333333333;1321920000
528;Red Faction: Armageddon;75.4;1307404800
529;Far Cry 3;89.5333333333333;1354060800
530;Hitman: Absolution;76.4;1353369600
531;Ace Combat: Assault Horizon;81.6;1318291200
532;Hard Reset;69.5;1315872000
533;Dishonored;90.3571428571429;1349740800
534;The Legend of Zelda: Skyward Sword;92.7142857142857;1321574400
